job_title,description
Frontend Developer,html css javascript react angular vuejs typescript bootstrap tailwind redux figma ui ux frontend
Backend Developer,nodejs express python django flask springboot java sql mongodb postgresql redis api backend
Software Engineer,java c++ c# python algorithms data structures git linux testing docker kubernetes devops
Architect,autocad sketchup revit urban planning bim interior design 3d modeling vray blueprint architecture
Fashion Designer,textile fashion illustration pattern making garment sketching draping merchandising fabric
Civil Engineer,autocad revit staadpro structural analysis surveying concrete hydraulics construction estimation
Chemical Engineer,thermodynamics heat transfer mass transfer aspentech fluid mechanics kinetics petrochemical
General Physician,patient care diagnosis pharmacology anatomy clinical medicine pathology physiology surgery
Nurse,patient monitoring vital signs iv therapy bls acls nursing care healthcare emergency medicine
Pharmacist,drug formulation toxicology pharmacology clinical trials medicine safety chemistry pharmacy
Graphic Designer,photoshop illustrator figma branding typography ui ux motion graphics video editing
HR Manager,recruitment payroll sourcing onboarding employee relations talent acquisition interview hiring
Accountant,tally excel gst auditing taxation finance banking financial modeling balance sheet
Marketing Specialist,seo sem digital marketing social media lead generation crm branding content marketing
Mechanical Engineer,solidworks catia thermodynamics robotics cad cam manufacturing hvac materials science
Lawyer,legal research litigation drafting contract law corporate law court proceedings advocacy
Embedded Systems Engineer,raspberry pi opencv python embedded systems robotics microcontroller sensors iot wireless
Computer Vision Developer,opencv python computer vision image processing deep learning artificial intelligence real-time
Robotics Research Engineer,robotics raspberry pi arduino sensors microcontrollers automation embedded systems
IoT Specialist,iot sensors raspberry pi esp32 wireless communication embedded systems Internet of Things